time,wx (rad/s),wy (rad/s),wz (rad/s)
1.660276,0.01,-0.00,0.01
1.664278,0.01,-0.00,0.01
1.665456,0.00,-0.00,0.01
1.667470,0.00,-0.00,0.01
1.670007,0.00,0.00,0.01
1.682929,0.01,0.00,0.01
1.683802,0.01,0.00,0.01
1.684184,0.00,0.00,0.01
1.684820,0.00,0.00,0.01
1.685053,0.00,0.00,0.01
1.686382,0.00,0.00,0.01
1.688370,0.00,0.00,0.01
1.707326,0.00,0.00,0.01
1.709832,0.00,0.01,0.01
1.710271,-0.00,0.01,0.01
1.710628,0.00,0.01,0.00
1.711001,0.00,0.01,0.00
1.711317,-0.00,0.01,0.00
1.711651,-0.00,0.01,0.00
1.711974,-0.00,0.01,0.00
1.712459,0.00,0.01,0.00
1.713660,0.00,0.01,0.00
1.714092,0.00,0.01,0.00
1.716884,0.00,0.02,-0.00
1.718971,0.00,0.02,0.00
1.726231,0.00,0.02,-0.00
1.728552,0.00,0.02,-0.00
1.728923,0.00,0.02,-0.00
1.729312,0.00,0.02,-0.00
1.731233,0.00,0.02,-0.00
1.734840,0.01,0.02,-0.00
1.737288,0.00,0.02,-0.01
1.738638,0.00,0.03,-0.01
1.742503,0.00,0.02,-0.01
1.743616,0.00,0.03,-0.01
1.748064,0.00,0.03,-0.01
1.749569,0.00,0.03,-0.01
1.751243,0.00,0.03,-0.01
1.753582,-0.00,0.03,-0.01
1.758253,-0.00,0.03,-0.01
1.760090,-0.00,0.03,-0.01
1.761473,-0.00,0.03,-0.01
1.763547,0.00,0.03,-0.01
1.765827,-0.00,0.03,-0.01
1.769833,0.00,0.03,-0.01
1.775403,0.00,0.03,-0.01
1.776285,0.00,0.03,-0.01
1.776865,0.00,0.03,-0.02
1.778331,0.00,0.03,-0.02
1.782735,0.00,0.03,-0.02
1.784359,-0.00,0.03,-0.02
1.785786,0.00,0.03,-0.02
1.788376,-0.00,0.03,-0.02
1.798266,-0.00,0.04,-0.02
1.799161,-0.00,0.04,-0.02
1.799538,-0.00,0.04,-0.02
1.799909,-0.00,0.04,-0.02
1.800950,-0.01,0.04,-0.02
1.803476,-0.00,0.04,-0.02
1.823109,-0.00,0.04,-0.02
1.824652,-0.00,0.04,-0.02
1.824965,-0.01,0.04,-0.02
1.825213,-0.01,0.04,-0.02
1.825428,-0.01,0.04,-0.02
1.825653,-0.00,0.04,-0.02
1.825891,-0.00,0.04,-0.02
1.826114,-0.00,0.04,-0.02
1.826318,-0.01,0.04,-0.02
1.828465,-0.00,0.04,-0.02
1.831345,-0.01,0.04,-0.02
1.833374,-0.00,0.04,-0.02
1.834813,-0.01,0.03,-0.02
1.838335,-0.00,0.03,-0.02
1.842430,-0.01,0.03,-0.02
1.844392,-0.01,0.03,-0.02
1.845875,-0.00,0.03,-0.02
1.848151,-0.00,0.03,-0.02
